"method","n","replication","full_mae1","full_rmse1","bound_mae1","bound_rmse1","inter_mae1","inter_rmse1","full_mae2","full_rmse2","bound_mae2","bound_rmse2","inter_mae2","inter_rmse2","runtime"
"Random",40,22,6.79421315404194,1.90125645345476,9.14824749011903,2.56634718913545,5.72022121830764,1.50304291846267,1.67304218241034,2.59731686044043,2.34771493098498,3.54262585804411,1.36523312452023,2.02435271512068,0
"Random",40,23,5.73008616246576,1.7859187596185,8.39026121639325,2.5715282581359,4.51902212784776,1.27712394068616,1.97219352694594,3.14601797740003,2.71506092674506,4.23984067859088,1.63399774202621,2.49389006005409,0
"Random",40,24,6.53888538727022,2.51407462239796,10.0940549235373,3.69202331478191,4.91805272268295,1.72848683895139,1.64880004005563,2.65461458331671,2.40590117871906,3.78366918907477,1.30363105629166,1.93207118359327,0
"Random",40,25,5.61593124809617,1.74180692730971,7.60800440954584,2.27305241671537,4.70967385369029,1.4365160385426,1.70050397721537,3.11001914998383,2.37141334536925,4.2037638913169,1.39528598239877,2.45622321264545,0
"Random",40,26,5.76073285396979,1.68777050029974,8.00435885998734,2.37133024868696,4.73784427423441,1.25840683177971,1.38524594050376,2.06563864246175,1.74616749849864,2.52973685130455,1.22069866798013,1.81508788414831,0
"Random",40,27,7.93020265436517,2.73038307630952,10.7139037385523,3.57072037157142,6.660181877653,2.24481751115181,1.73626154402608,2.65449776372601,2.1169333873541,3.31308898900971,1.56258587429192,2.29200021642124,0
"Random",40,28,4.53790543331872,1.27828773942423,6.60976633516351,1.77781090037244,3.59332605617954,0.968521022507924,1.45047554895958,2.35128149839706,2.1617289954848,3.33460027407796,1.12620892618162,1.72612965720551,0.00100000000000122
"Random",40,29,5.22074312453971,1.48807566657437,6.1209211321039,1.72495193118591,4.81180914032991,1.36697486785879,1.46328724211755,2.27038968905928,1.88883994139889,2.90472493965585,1.26996663292022,1.91399428455378,0
"Random",40,30,5.8539644555659,1.61775292722738,7.53614364084662,2.05047579208993,5.08484982358608,1.37527373073105,1.92849127346916,3.10903836921632,2.97578976179981,4.50999025189364,1.4496525156997,2.1876641380704,0
"Random",50,1,8.00437374574782,2.57961598298459,11.4961809998745,3.5955852453721,6.40885751051766,1.94620553108331,1.78034471419314,2.98988317520076,2.49026817172603,4.18714792812707,1.45595842370537,2.23899055507897,0
"Random",50,2,7.02349311755245,2.25142579500638,10.2245181463272,3.1975289142835,5.56189030109466,1.64772467977838,1.40958865511432,3.51792465556715,2.31450136549191,5.45559929874799,0.996401330976897,2.10629006795019,0
"Random",50,3,7.94035164398873,2.43819954911443,11.6186137894145,3.45776000153929,6.26084015529466,1.78886431581009,1.83411285498539,3.26997981108173,2.74242843441632,4.78285344285976,1.41937176511741,2.26494830502443,0.000999999999999446
"Random",50,4,8.7243228986072,3.00491766874468,11.1728554769,3.63704925411114,7.60791059996396,2.66742820364319,3.14949521259202,5.84298780632195,4.5996138701223,8.54739277986391,2.48831131897701,4.04920347701214,0
