"method","n","replication","full_mae","full_rmse","bound_mae","bound_rmse","inter_mae","inter_rmse","runtime"
"Random",80,10,1.26168743727037,3.65527072191272,1.26447381223889,3.66191812168643,0.585963075005024,1.25109550046274,0
"Random",80,11,1.51431015845697,5.02279404238433,1.5182866909639,5.03260631889874,0.549960448664083,1.14055195260486,0
"Random",80,12,0.963105551855611,2.33250452733702,0.9650512383399,2.33638909785275,0.491256725471451,1.02090916429012,0
"Random",80,13,1.21747662275577,3.30820478490899,1.22022123200369,3.31418256988964,0.551880873917575,1.1592743803321,0
"Random",80,14,1.08721773355654,3.05593995593372,1.08925366968093,3.06122322806656,0.593482448532533,1.22522225335159,0
"Random",80,15,1.54031548343517,5.14398248989515,1.54256511104184,5.15277743663383,0.983345181817705,2.00986170898184,0
"Random",80,16,1.06080753993413,2.79078037662748,1.06282871281346,2.79539426016777,0.570652492483197,1.240164103083,0
"Random",80,17,1.28618132233548,3.49003739620767,1.28917405676343,3.49635524888732,0.560412685451614,1.21499105004661,0
"Random",80,18,1.13557468074276,2.81785609271613,1.13792186628635,2.82259625301963,0.566358235550039,1.2068151982879,0
"Random",80,19,0.940240929528805,2.21921040565291,0.942179146059564,2.22291932135102,0.470203643100077,0.964065180923199,0
"Random",80,20,0.963251201517025,2.38936986576968,0.965293230657856,2.39357925909206,0.468038297833366,0.909150285926003,0
"Random",80,21,1.11212678562763,2.67568852387568,1.11488653951469,2.68040768244706,0.41426136120994,0.876150787292735,0
"Random",80,22,1.01500468448227,2.61750678931409,1.01695824086441,2.62172019657074,0.541247327564935,1.22389940932864,0
"Random",80,23,1.24541759253233,3.22380091503128,1.24784503054555,3.22926035003508,0.656739104551796,1.35986809115909,0.000999999999976353
"Random",80,24,1.03954861336268,2.58772057128871,1.04146448492113,2.59197996356424,0.57493021072904,1.16014927497049,0
"Random",80,25,1.94585741381745,6.56087874934615,1.95033501071848,6.57304710139358,0.813597005970951,1.62219579940764,0
"Random",80,26,1.4735824069852,3.89620582321959,1.47759913829576,3.9036774888876,0.499484077120552,1.0234163158216,0
"Random",80,27,1.27388088781316,3.68178930292321,1.27705431566687,3.6887053450567,0.504292251372916,1.0925654788459,0
"Random",80,28,1.23457500013708,3.1128300763667,1.23741629927361,3.11832458032479,0.531116688917063,1.10144213238262,0
"Random",80,29,0.958177929544023,2.32223058329903,0.960322447702399,2.32625588197399,0.438110393299677,0.924669640259814,0
"Random",80,30,1.1366674103863,3.16769045299757,1.13905512034122,3.17333098062227,0.557623381930303,1.16639251436381,0
"Random",90,1,1.5573599122285,3.98147342080584,1.56135691593448,3.98879421575088,0.568601120460984,1.19084934771404,0
"Random",90,2,1.13222380190524,3.02330681731731,1.13425863425154,3.0282499528522,0.628857150240966,1.31927675454484,0
"Random",90,3,1.17441067692876,2.99819270036479,1.1770449693095,3.00355578252142,0.536105504754862,1.09079853830594,0
"Random",90,4,1.15271229472591,3.04499300181473,1.15513980736611,3.0503392753919,0.564511119683207,1.17297771058306,0
"Random",90,5,1.28984506559517,3.44652881217072,1.29350359930728,3.45320499887743,0.403359947965034,0.846754484918651,0
"Random",90,6,1.38388319746227,4.08444046504578,1.3858818538053,4.09089270160955,0.889465584605211,1.90625932776075,0
"Random",90,7,1.32059320896153,3.27033178154999,1.32291886147514,3.27552656067145,0.745284918407368,1.51104571605792,0
"Random",90,8,1.05758127184872,2.5984821006288,1.06003078138717,2.60298033915444,0.451633849773396,0.981922994638135,0
"Random",90,9,1.51280960841779,3.93871040197718,1.51700296228634,3.94597656393221,0.453318604394469,1.01892872080193,0
"Random",90,10,1.46777957660716,3.80367507665151,1.47163552869856,3.81085213644376,0.533458776991618,1.1072193028214,0
"Random",90,11,1.43489457037958,3.78299596167213,1.43840378759289,3.79000671234463,0.584589754592604,1.20267898108123,0
"Random",90,12,1.24947304711525,3.98928273883105,1.2504022348139,3.99551523295988,1.02432517882881,1.96366049904496,0
"Random",90,13,1.31203348316093,3.88454812910788,1.3153619140858,3.89189786998121,0.505534291918154,1.1138855114438,0
"Random",90,14,1.04264144927268,2.67339778122267,1.04497332116142,2.6781013222891,0.477614613863196,1.02370371987765,0
"Random",90,15,1.40084071444165,3.66264137187564,1.40342221812496,3.66863988859697,0.762241240780794,1.59253811454395,0
"Random",90,16,0.896674073552425,2.23254367789679,0.898099145653442,2.23586671110233,0.551370378544675,1.17742351970872,0
"Random",90,17,1.21026686886061,3.05977590073923,1.2134523356415,3.06545070275927,0.438408764993749,0.969433559374472,0
"Random",90,18,1.24601402952385,3.22806639851391,1.24916033389626,3.23404855290315,0.483645217001519,1.02639924450403,0
"Random",90,19,1.05629441224151,2.50869119879725,1.05858012452162,2.51297778008953,0.502452332612548,1.0381234347823,0
"Random",90,20,1.07320022934457,2.85699119808224,1.07585046565192,2.86227058998977,0.417598022812637,0.83252774411585,0
"Random",90,21,1.09642075882264,2.62710499872007,1.0989401128121,2.6316560824872,0.459881851910891,0.924534134133176,0
"Random",90,22,1.13168660432302,2.89379632958509,1.13344707966656,2.89785408683279,0.705112650163088,1.63694655001904,0
"Random",90,23,1.23093546237888,3.02229442452181,1.23336296683389,3.02742706774324,0.642736270657207,1.26901582149962,0
"Random",90,24,1.0055017988109,2.57176278091342,1.00714511724429,2.57585293340238,0.607315681268105,1.22976481300117,0
"Random",90,25,1.94092365335955,6.55212979871957,1.94579706645887,6.56445114860972,0.709609173478082,1.44813144160841,0
"Random",90,26,1.38138003150734,3.78424265559131,1.384400809228,3.79110920759846,0.649427095233195,1.31017729279013,0
